ENSG00000004939.12,ENSG00000070915.8,ENSG00000074803.16,ENSG00000086159.11,ENSG00000100362.11,ENSG00000102678.6,ENSG00000104413.14,ENSG00000105929.14,ENSG00000113889.10,ENSG00000115507.8,ENSG00000116039.10,ENSG00000118271.8,ENSG00000122194.17,ENSG00000132677.11,ENSG00000132698.12,ENSG00000133020.4,ENSG00000133742.12,ENSG00000135480.13,ENSG00000140519.11,ENSG00000141750.6,ENSG00000147606.7,ENSG00000147614.3,ENSG00000149452.14,ENSG00000152931.7,ENSG00000153292.14,ENSG00000157703.14,ENSG00000163631.15,ENSG00000164122.7,ENSG00000164363.9,ENSG00000164756.11,ENSG00000166105.14,ENSG00000167741.9,ENSG00000167748.9,ENSG00000168878.15,ENSG00000169344.14,ENSG00000170044.7,ENSG00000173253.13,ENSG00000184601.9,ENSG00000184905.7,ENSG00000184908.16,ENSG00000186766.7,ENSG00000188175.8,ENSG00000214128.9,ENSG00000223350.2,ENSG00000231290.4,ENSG00000241233.2,ENSG00000260802.1,ENSG00000277011.1,Class Labels
4.0,3.459431619,6.658211483,2.0,2.807354922,2.584962501,5.247927513,4.459431619,4.247927513,0.0,9.204571144,1.584962501,3.459431619,2.584962501,5.209453366,7.73470962,1.584962501,7.459431619,2.807354922,5.727920455,5.129283017,3.700439718,7.044394119,3.169925001,3.906890596,1.584962501,6.906890596,1.584962501,9.278449458,2.0,5.554588852,4.392317423,1.0,4.0,7.475733431,1.0,4.0,4.754887502,7.312882955,4.459431619,5.209453366,1.0,5.087462841,3.169925001,4.087462841,2.584962501,3.0,4.169925001,0
4.95419631,4.754887502,3.700439718,2.321928095,1.584962501,1.584962501,1.0,3.321928095,1.584962501,1.0,5.169925001,1.0,7.965784285,1.584962501,0.0,4.584962501,5.044394119,8.592457037,1.0,1.0,4.459431619,2.0,9.668884984,1.0,2.0,1.0,7.21916852,1.0,12.07079181,2.321928095,3.0,4.459431619,2.0,1.584962501,1.0,0.0,0.0,5.672425342,3.459431619,4.584962501,3.459431619,2.0,3.0,2.807354922,2.321928095,3.0,0.0,2.807354922,0
5.129283017,5.781359714,8.939579214,2.321928095,0.0,1.0,1.0,7.303780748,1.584962501,1.0,4.321928095,1.584962501,8.06608919,1.584962501,4.0,3.0,3.0,8.77478706,1.0,2.584962501,7.055282436,1.0,5.554588852,1.0,6.209453366,2.584962501,6.303780748,1.584962501,10.89481776,0.0,2.0,3.169925001,2.0,2.0,1.0,2.807354922,2.584962501,4.169925001,0.0,5.754887502,1.0,1.0,5.700439718,6.475733431,3.0,1.0,2.321928095,1.584962501,0
6.768184325,6.06608919,8.924812504,4.247927513,3.906890596,3.807354922,6.06608919,5.554588852,7.159871337,2.807354922,8.442943496,4.247927513,11.14847658,3.807354922,3.584962501,11.44811631,3.169925001,7.011227255,4.807354922,4.906890596,6.044394119,5.044394119,12.03617361,3.0,4.700439718,3.321928095,8.426264755,3.700439718,9.319672121,5.523561956,8.558420713,5.459431619,3.700439718,5.906890596,10.142877455375,3.906890596,2.807354922,10.7984718,7.0,5.906890596,4.459431619,3.169925001,5.930737338,1.0,3.807354922,3.807354922,2.584962501,2.807354922,0
3.169925001,5.357552005,6.044394119,2.0,4.169925001,4.754887502,3.584962501,4.321928095,2.321928095,1.584962501,4.906890596,1.0,9.756556323,2.0,3.321928095,8.209453366,0.0,8.527477006,3.459431619,3.906890596,3.807354922,10.30947635,6.022367813,2.807354922,4.169925001,2.321928095,6.700439718,0.0,8.661778098,2.0,1.584962501,4.906890596,1.0,1.584962501,3.169925001,1.584962501,3.169925001,7.044394119,4.807354922,5.392317423,4.169925001,1.0,4.523561956,2.321928095,5.169925001,0.0,2.584962501,2.0,0
8.038918989,4.321928095,2.807354922,1.584962501,3.169925001,1.0,2.321928095,3.700439718,2.584962501,1.584962501,5.754887502,2.584962501,11.82773965,0.0,3.169925001,10.03754695,7.0,4.523561956,1.584962501,1.0,3.906890596,0.0,9.076815597,1.584962501,3.321928095,0.0,5.129283017,2.0,11.28828934,3.807354922,6.820178962,3.906890596,0.0,2.321928095,1.0,2.584962501,2.321928095,9.873444113,8.965784285,2.321928095,5.247927513,1.584962501,3.584962501,2.584962501,3.459431619,2.807354922,1.0,1.0,0
5.832890014,5.169925001,5.169925001,3.807354922,2.321928095,2.0,2.321928095,4.247927513,1.584962501,3.807354922,6.129283017,1.0,6.169925001,2.321928095,0.0,5.129283017,6.539158811,8.758223215,4.523561956,2.0,3.584962501,4.857980995,3.321928095,3.169925001,9.076815597,1.0,5.807354922,1.584962501,8.768184325,3.459431619,3.459431619,2.321928095,3.0,1.584962501,2.807354922,4.700439718,3.0,0.0,3.0,5.169925001,2.0,2.0,2.807354922,1.584962501,3.584962501,2.321928095,2.584962501,0.0,0
6.491853096,4.95419631,4.754887502,3.0,2.0,2.321928095,4.95419631,4.169925001,3.0,2.584962501,7.294620749,6.189824559,11.69783636,3.807354922,5.554588852,1.584962501,3.321928095,7.930737338,3.584962501,9.796039609,5.044394119,3.906890596,12.49934763,2.0,3.321928095,4.321928095,7.686500527,2.0,8.845490051,1.584962501,2.584962501,4.169925001,1.584962501,5.209453366,2.807354922,2.0,3.321928095,12.12315143,6.189824559,3.584962501,6.0,1.0,4.754887502,1.0,3.169925001,3.321928095,1.0,3.169925001,0
10.54592977,8.742366901999999,13.41270215,7.619818782499999,7.098032083,7.499845887,7.942514505,10.18487534,9.7447947125,0.0,10.478842511,4.807354922,10.92555444,7.339850003,7.936637939,8.588714636,1.584962501,10.86805085,8.7843343475,7.357552005,9.327484898124998,9.503825738,12.12928302,5.247927513,9.257387843,4.459431619,8.30833903,3.0,5.209453366,6.845490051,8.717676423,9.385862401,5.882643049,3.807354922,10.142877455375,3.459431619,6.890759940000001,11.06877828,9.627533884,10.751167343999999,5.857980995,5.518387305,9.43788990125,6.845490051,6.285402219,3.584962501,4.392317423,5.807354922,0
5.285402219,7.820178962,8.438791853,4.523561956,3.584962501,4.169925001,5.754887502,5.930737338,5.906890596,2.321928095,7.276124405,1.584962501,8.686500527,5.321928095,5.247927513,10.49884921,3.584962501,8.797661526,5.169925001,3.807354922,5.977279923,5.209453366,7.339850003,3.807354922,5.392317423,2.807354922,6.569855608,0.0,11.25266543,1.584962501,2.807354922,5.169925001,4.754887502,3.169925001,6.392317423,1.584962501,4.169925001,5.584962501,4.95419631,7.665335917,4.0,3.321928095,6.62935662,4.523561956,4.95419631,2.584962501,2.0,3.321928095,0
