,MIMAT0004494,MIMAT0000450,MIMAT0002171,MIMAT0000280,MIMAT0019880,MIMAT0002807,MIMAT0000318,MIMAT0000073,MIMAT0000099,MIMAT0003218,MIMAT0000254,MIMAT0000689,MIMAT0015066,MIMAT0014995,ML_tags
TCGA.CJ.4888.01,2161.710952,7.6082301,0.8453571,194.4398529,0.8453571,1.6907141,89.6108802,12.6808295,5845.051299,67.6304913,80891.76004,26089.95987,60.6918083,5.9176489,2
TCGA.B0.5080.01,2885.364858,37.3712119,7.3918576,101.8483929,2.4640165,2.0534068,34.4970132,9.8562415,4960.19902,73.5093253,138682.7662,46632.64765,0.8213397,1.2320671,2
TCGA.CJ.5680.01,680.6223775,58.2408595,2.9613715,125.3648309,0.4936064,1.4807553,208.7794595,10.8583647,11711.68849,20.7299828,145408.2972,54098.67268,0.4936064,8.8840935,2
TCGA.CZ.5464.01,1203.498359,21.6479543,1.5244649,126.5382409,0.9146852,1.5245041,82.324436,34.7585874,8263.77829,63.1156615,147276.5466,47125.18091,0.3048645,3.0490964,2
TCGA.CJ.4875.01,481.7089516,2.69217599,1.99426104,43.77499973,1.3958794,0.19938474,129.7273268,6.58102089,14637.63421,33.80290366,218216.0707,23832.25656,0.69795002,5.28448578,2
TCGA.CW.5585.01,361.1807342,7.9842846,2.1011409,60.7213567,0.4201559,6.3032456,126.69788,15.54813,26327.31177,15.9683344,275715.9041,81255.2377,3.7817957,4.6224542,2
TCGA.B4.5377.01,2008.472047,4.7369392,0.8880966,60.0986579,2.3683715,1.1842156,269.4092252,21.6120758,17382.34532,61.2842757,196409.0545,46189.41817,1.4801582,5.9212869,2
TCGA.CJ.5681.01,891.2828195,55.5339838,1.6333513,126.8558073,1.0889146,13.0664963,68.0570428,11.9782419,12933.0781,9.2558348,103723.1234,66612.80459,2.7222091,4.3557923,2
TCGA.B0.4712.01,2144.144804,20.4166558,3.2480478,121.1054819,0.4639842,0.9279684,112.7548512,22.7363322,6622.491754,92.8032768,85450.21494,35883.60977,0.9279932,0.4639842,2
TCGA.CZ.5468.01,4028.91364,29.6431489,0.8718956,135.5744297,1.7437154,1.3078401,97.2140745,19.616964,4625.2474,81.5182703,86409.88298,26855.09777,6.1030673,0.871889,2
TCGA.B0.4700.01,2771.173302,10.2069636,2.0413547,269.9819463,1.0207358,3.0620275,66.3454648,23.986925,6080.723119,52.0558401,94650.10802,33950.18069,0.5103679,1.5309868,2
TCGA.G6.A5PC.01,943.1217735,17.9268249,3.5113452,123.084718,0.7392918,0.5544895,344.1222511,13.6762654,22283.52565,56.3692046,69106.89737,16029.61452,0.5544895,3.5115693,2
TCGA.CW.6087.01,2675.949925,8.0430392,2.93644718,459.407393,3.19173994,0.4468346,354.9746437,10.85182195,10343.05016,103.4092017,32972.79205,12495.13946,0.19148874,3.83000098,2
TCGA.CZ.5462.01,2625.527865,2.1901629,1.4601087,239.2131872,1.2167447,2.4334849,106.3433143,18.7376574,8706.779494,45.2638253,98046.07315,21458.83323,0.243322,4.380257,2
TCGA.CJ.6028.01,2268.463061,8.5110646,1.9641058,206.2269318,0.6547348,1.3094696,118.4975539,24.2237204,11296.70696,73.9798821,128875.1456,41770.81866,3.9281425,5.8923693,2
TCGA.CZ.5455.01,1026.705409,3.0755807,1.2815274,98.1624926,0.7688845,5.3821722,179.1501664,9.4827751,12501.47987,76.6307094,160180.0491,38859.2477,0.2563165,5.895013,2
TCGA.B0.4836.01,1820.355577,7.5022619,2.2065013,76.1262476,0.8825654,0.8826692,118.0491517,17.4315662,6819.416821,92.6743114,135107.5425,32899.5334,0.4413293,2.8684253,2
TCGA.CJ.5678.01,996.5913619,2.8152072,20.6616837,118.7093133,0.4691686,3.2842504,65.2195539,8.4453587,11778.99268,32.843794,168720.318,39315.80201,3.7536525,2.3459132,2
TCGA.CJ.5677.01,2983.949641,12.239699,5.7118013,210.5203455,2.4478571,0.8159192,275.7938104,17.1353725,6246.080405,63.6432092,77581.67479,39374.67433,0.8159192,9.7915362,2
TCGA.CZ.5460.01,1165.098533,2.8497421,1.8998692,120.1709655,0.9499694,0.9498998,89.769702,19.4739647,15551.43502,48.9219638,209246.6968,47932.49528,0.4749847,4.2747401,2
TCGA.CW.5590.01,1802.340473,6.2674059,1.0445736,54.8389171,0.5222444,2.0891287,87.2203205,33.4256092,11915.44898,73.6423571,184001.7465,52110.02596,0.5222444,3.1336035,2
TCGA.CZ.5454.01,1390.133025,18.6347014,1.6564477,103.1118229,0.8281697,3.3128478,190.0720656,28.9871998,20312.03749,138.3083682,161781.2807,41805.41557,2.4846717,3.3128341,2
TCGA.CJ.4890.01,2697.284286,5.3806679,5.111568,207.6913465,4.3044601,1.6141088,102.7718181,40.3543544,8869.264987,50.0398294,196536.5165,28112.77044,1.614184,4.5734251,2
TCGA.CJ.4895.01,2359.138,6.3448254,1.3879586,138.2000028,0.5948271,1.1897324,128.8781582,31.7236586,13965.96462,66.6199225,137795.5664,26253.65074,0.9914725,6.1466095,2
