miRNA,has_miR_3065_5p,has_miR_19a_3p,has_miR_3130_5p,has_miR_101_3p,Class Labels
TCGA.CZ.5451.11,2060.405693,7.152620531,3.269720683,7511.630691,0
TCGA.CJ.5672.11,1826.011447,13.26119252,4.059617316,6618.949255,0
TCGA.CZ.5470.11,2918.552072,8.150329594,5.361944985,5766.551498,0
TCGA.A3.3358.11,648.0110743,5.462689074,4.588925887,13314.20626,0
TCGA.B0.5701.11,2257.387167,10.11493607,2.790362228,5395.109485,0
TCGA.CW.6087.11,1812.21693,22.25424442,8.159510416,8710.817261,0
TCGA.CZ.5987.11,3184.55015,11.94998951,2.757487942,6073.728583,0
TCGA.CZ.5458.11,2677.531704,8.585597462,6.052081524,6382.272955,0
TCGA.CJ.5676.11,2474.088579,10.9250655,6.722952113,9343.984447,0
TCGA.CZ.5463.11,2297.287419,13.07710507,5.943923793,4326.161691,0
TCGA.CJ.5681.11,1283.966739,8.208159854,3.156915772,10018.57647,0
TCGA.CZ.5468.11,2134.331853,11.03568613,7.223672631,4517.0551,0
TCGA.CZ.5465.11,2775.689693,8.273818229,11.22850961,5207.171221,0
TCGA.CZ.5457.11,3071.586808,11.58069091,14.25304611,6269.930736,0
TCGA.B0.4700.11,1377.915663,10.56680015,2.81786213,9593.178486,0
TCGA.CZ.5982.11,2439.083347,5.450570619,0.340619664,4508.048804,0
TCGA.B0.5705.11,2365.276121,7.500062437,2.954620954,6955.107934,0
TCGA.B0.5697.11,1401.774664,6.629729201,1.371549078,6980.682517,0
TCGA.B0.5703.11,1076.468523,12.48407734,9.630443149,7396.554902,0
TCGA.CZ.5456.11,2676.631361,7.205389568,4.929999619,3686.565748,0
TCGA.B0.5711.11,2072.638821,14.51541293,2.639322172,7978.212687,0
TCGA.B0.4811.01,1328.766711,26.14404667,7.546862386,10180.13338,0
TCGA.CW.5584.11,2330.298351,30.35872131,13.26017416,7997.054013,0
TCGA.CZ.4863.11,2847.637093,6.185032042,9.143357412,4248.702435,0
TCGA.B0.5402.11,2425.280682,5.961692511,6.557932423,6614.810477,0
TCGA.B0.5709.11,1497.322725,5.438585797,2.417101548,8202.766385,0
TCGA.CW.5589.11,1505.870878,10.04317612,6.342869843,11673.96324,0
TCGA.CZ.5469.11,2588.07329,9.207203158,6.232379026,6195.620783,0
TCGA.CZ.5466.11,2142.913518,17.47452066,6.656701593,8469.240555,0
TCGA.CZ.5452.11,2635.700646,10.5652831,8.353877619,6076.362468,0
TCGA.CJ.5678.11,1843.879432,4.918530044,1.537105176,6441.380874,0
TCGA.B8.4619.11,1619.821287,12.28197499,2.78088081,9915.765008,0
TCGA.CJ.5679.11,1477.655852,7.530477806,7.872828608,9077.709579,0
TCGA.CW.6090.11,2915.493206,10.18634281,1.314365738,8885.428503,0
TCGA.CJ.6030.11,1955.353958,10.39398339,6.496302014,8735.914418,0
TCGA.CZ.5462.11,3385.860337,9.204974478,7.287450848,3424.586558,0
TCGA.CZ.5454.11,3008.487891,8.089711271,5.932607635,7049.939971,0
TCGA.CZ.5984.11,1759.679203,10.05722377,3.845543135,5810.960039,0
TCGA.CZ.5455.11,3294.325485,10.32171457,11.79606767,6930.886607,0
TCGA.B0.5696.11,2121.004654,6.79249205,3.622477654,7769.462444,0
TCGA.B0.5706.11,2401.517667,8.108190878,3.757577139,8134.609621,0
TCGA.CZ.5989.11,3073.892644,11.6426738,6.694668745,4177.011082,0
TCGA.B8.5549.11,2448.92336,14.96029473,6.365918959,6840.806138,0
TCGA.CZ.5461.11,2846.832156,8.608307695,6.197648718,5034.574794,0
TCGA.B0.5711.01,1664.088176,16.53586957,0,17078.50831,0
TCGA.CW.5585.11,1828.526335,4.155221054,3.046998239,9105.477744,0
TCGA.B2.5641.11,1775.667978,15.93245814,8.129012491,5003.890976,0
TCGA.CW.5581.11,1952.300332,10.47749522,1.552168454,8470.512914,0
TCGA.B0.4712.11,2262.886199,14.49403851,16.52884914,5618.238184,0
TCGA.A3.3387.11,1134.045214,11.15872503,3.063116033,9987.26436,0
TCGA.CJ.5677.11,1705.454855,4.052332033,4.052332033,7625.679899,0
TCGA.B0.5712.11,1763.140889,17.15993404,3.625393055,11972.19133,0
TCGA.B8.5552.11,2188.371109,13.24335013,8.513642663,8016.643732,0
TCGA.CZ.5467.11,3024.824315,7.410381507,6.880808166,4864.002776,0
TCGA.CZ.5986.11,1810.801667,11.586349,2.482968828,10952.84153,0
TCGA.CW.5580.11,2616.890855,17.06334968,5.817025836,6983.571515,0
TCGA.CZ.5453.11,2878.965552,9.967517583,8.081865024,6188.222222,0
TCGA.B0.5694.11,1295.696455,5.174095478,4.434644777,7209.572372,0
TCGA.B0.5691.11,1837.777687,1.354591953,2.03173272,6098.635938,0
TCGA.CZ.5985.11,3194.429106,8.471772484,0.529542294,4032.685697,0
TCGA.B0.5690.11,1788.30565,4.986167816,1.329608653,5488.393699,0
TCGA.CW.5591.11,1883.232809,9.53625406,7.210081543,9132.371769,0
TCGA.B8.4622.11,1872.743886,11.04711599,6.243909783,10365.41406,0
TCGA.CW.5587.11,1742.019157,8.803222023,3.423401193,11313.04977,0
TCGA.B0.5699.11,1593.349108,4.144884328,1.578936149,7260.59652,0
TCGA.CZ.4864.11,2211.814206,3.905987729,3.906040082,7076.990873,0
TCGA.CW.6088.11,2444.713699,10.66923372,4.06449431,5310.021664,0
TCGA.B2.5636.11,1608.385222,8.70369175,3.626388442,8347.815937,0
TCGA.CJ.5680.11,1427.644737,11.26534167,13.8649429,8324.799585,0
TCGA.CZ.5988.11,2349.781668,8.352235102,2.5521414,6633.988989,0
TCGA.B8.4620.11,1217.602603,15.78305786,5.261187691,12109.11694,0
TCGA.CJ.5689.11,1319.700139,13.55064794,5.269597601,11583.03634,0
TCGA.CZ.4863.01,1621.6833,10.78016139,1.07800205,9043.708803,1
TCGA.B0.5700.01,805.1411663,11.19089769,0.829015341,14482.25228,1
TCGA.B0.5402.01,637.9154827,28.87891554,0.862151422,18062.96946,1
TCGA.CZ.4864.01,1150.731924,9.251369326,0,14482.48906,1
TCGA.CJ.4876.01,422.9665976,20.0820426,0.743783744,8810.480581,1
TCGA.CW.6093.01,2177.598439,18.8710894,100.733422,17585.85966,1
TCGA.B2.5635.01,814.5340841,5.081483653,2.092300056,11771.6536,1
TCGA.CJ.4878.01,339.8788877,20.68246007,1.279340387,19652.74375,1
TCGA.BP.4994.01,1933.012664,7.991680474,30.55541728,10300.25333,1
TCGA.B0.5710.01,2258.056796,11.89479746,0.396484925,12380.75158,1
TCGA.A3.3387.01,1749.75692,5.623979601,3.749418597,10375.27482,1
TCGA.B8.5552.01,1690.152966,20.59644825,1.029951569,14197.64415,1
TCGA.BP.4804.01,1093.595161,7.563120754,3.076647123,10716.27245,1
TCGA.CW.5584.01,1203.941714,7.811691928,0.488232572,9257.705067,1
TCGA.CJ.5683.01,1928.599349,17.12547713,0.329330653,13840.9479,1
TCGA.CJ.4891.01,1489.901276,21.94497288,6.524048971,8933.646639,1
TCGA.CJ.4881.01,1053.407972,3.134719761,6.095328911,9144.012661,1
TCGA.B0.5701.11,2257.387167,10.11493607,2.790362228,5395.109485,1
TCGA.B4.5838.01,1327.227375,16.610016,4.745635549,9859.045915,1
TCGA.CZ.5988.01,1326.856426,16.12648257,6.271724879,6609.211798,1
TCGA.BP.4975.01,1873.679717,3.285314171,0.273765763,26936.51125,1
TCGA.B4.5834.01,2702.766199,15.13917218,0,12519.86841,1
TCGA.A3.3317.01,565.8572554,7.630670867,8.433635082,9913.293386,1
TCGA.BP.4807.01,528.7354903,28.66981987,1.661936597,8303.676996,1
TCGA.BP.4961.01,1929.283954,6.842060052,0.092474799,18276.65259,1
TCGA.B0.5812.01,1835.085757,13.88806987,0.462969812,10124.45621,1
TCGA.BP.4797.01,1680.203603,20.56127509,4.744836317,9948.041522,1
TCGA.B0.5702.01,604.0909503,11.51522708,3.838427492,6594.920582,1
TCGA.DV.5574.01,2392.622126,16.30799699,4.659374753,6178.923396,1
TCGA.CZ.4858.01,1128.787575,83.00099512,0.829944634,3971.195972,1
TCGA.B0.4837.01,668.9604908,26.87748384,3.732973066,5479.282987,1
TCGA.B8.5553.01,734.0859613,17.80516044,4.451224631,13685.91837,1
TCGA.BP.5000.01,928.4803864,3.928675506,0,2344.049348,1
TCGA.CJ.5672.01,748.3944068,9.16649699,2.696097414,10483.85778,1
TCGA.B4.5844.01,2336.086536,21.65918877,0.902504677,22469.57751,1
TCGA.CZ.5459.01,2580.806667,24.89387882,3.068964077,9173.912299,1
TCGA.CZ.5470.01,1327.806511,27.81645884,13.07006875,5838.139397,1
TCGA.CZ.4854.01,854.0061051,5.791302861,6.830767355,9998.744271,1
TCGA.BP.4790.01,1849.840909,13.93875053,1.991272718,12483.44502,1
TCGA.CW.6090.01,867.4227107,24.43370668,0,12681.49992,1
TCGA.BP.5008.01,418.5185425,31.48458327,2.827933157,11275.59128,1
TCGA.BP.4965.01,1513.319822,14.55589648,0.485244041,10605.59614,1
TCGA.B4.5836.01,2749.024974,12.84743478,0,11920.2456,1
